Name,FullName,URL,Stars,Commits
JavaGuide,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,140579,162425
java-design-patterns,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,85723,31560
GitHub-Chinese-Top-Charts,GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,81914,66607
LeetCodeAnimation,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,74657,509807
mall,macrozheng/mall,https://github.com/macrozheng/mall,73787,58458
advanced-java,doocs/advanced-java,https://github.com/doocs/advanced-java,73356,33503
spring-boot,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,71663,169898
elasticsearch,elastic/elasticsearch,https://github.com/elastic/elasticsearch,66751,1165978
hello-algo,krahets/hello-algo,https://github.com/krahets/hello-algo,62205,233534
interviews,kdn251/interviews,https://github.com/kdn251/interviews,61244,24091
Java,TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,55782,4010
spring-framework,spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,54438,204041
guava,google/guava,https://github.com/google/guava,49065,458260
RxJava,ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,47519,141264
ghidra,NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,46177,329452
retrofit,square/retrofit,https://github.com/square/retrofit,42411,6192
dubbo,apache/dubbo,https://github.com/apache/dubbo,39797,54154
jadx,skylot/jadx,https://github.com/skylot/jadx,38110,22134
MPAndroidChart,PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,37117,21720
jeecg-boot,jeecgboot/jeecg-boot,https://github.com/jeecgboot/jeecg-boot,37039,58950
dbeaver,dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,36019,175171
tutorials,eugenp/tutorials,https://github.com/eugenp/tutorials,35603,76989
lottie-android,airbnb/lottie-android,https://github.com/airbnb/lottie-android,34528,136457
arthas,alibaba/arthas,https://github.com/alibaba/arthas,34275,48645
hello-algorithm,geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,34238,365053
glide,bumptech/glide,https://github.com/bumptech/glide,34210,96790
AndroidUtilCode,Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,32803,47327
netty,netty/netty,https://github.com/netty/netty,32415,87668
zxing,zxing/zxing,https://github.com/zxing/zxing,31993,242911
spring-boot-demo,xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,31543,14194
halo,halo-dev/halo,https://github.com/halo-dev/halo,30554,69322
easyexcel,alibaba/easyexcel,https://github.com/alibaba/easyexcel,30411,26323
spring-boot-examples,ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,29748,1074
termux-app,termux/termux-app,https://github.com/termux/termux-app,28891,4464
selenium,SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,28807,2162972
apollo,apolloconfig/apollo,https://github.com/apolloconfig/apollo,28641,53761
nacos,alibaba/nacos,https://github.com/alibaba/nacos,28545,55134
hutool,dromara/hutool,https://github.com/dromara/hutool,27935,58227
leetcode,doocs/leetcode,https://github.com/doocs/leetcode,27783,1547001
